wavelength_um, neff, ng
1.500000, 2.4912804040, 4.0302263879
1.505000, 2.4861505841, 4.0313471004
1.510000, 2.4810133175, 4.0335812292
1.515000, 2.4758686774, 4.0358004383
1.520000, 2.4707167382, 4.0380040648
1.525000, 2.4655575765, 4.0401914287
1.530000, 2.4603912704, 4.0423618323
1.535000, 2.4552178997, 4.0445145601
1.540000, 2.4500375462, 4.0466488781
1.545000, 2.4448502936, 4.0487640340
1.550000, 2.4396562275, 4.0508592561
1.555000, 2.4344554354, 4.0529337537
1.560000, 2.4292480068, 4.0549867161
1.565000, 2.4240340334, 4.0570173128
1.570000, 2.4188136088, 4.0590246924
1.575000, 2.4135868290, 4.0610079831
1.580000, 2.4083537920, 4.0629662917
1.585000, 2.4031145980, 4.0648987032
1.590000, 2.3978693497, 4.0668042810
1.595000, 2.3926181519, 4.0686820658
1.600000, 2.3873611120, 4.0696138886
