wavelength_um, neff, ng
1.500000, 2.4767686191, 4.0652609893
1.505000, 2.4714699547, 4.0675691708
1.510000, 2.4661636520, 4.0698586943
1.515000, 2.4608497992, 4.0721287807
1.520000, 2.4555284866, 4.0743786315
1.525000, 2.4501998067, 4.0766074278
1.530000, 2.4448638539, 4.0788143301
1.535000, 2.4395207249, 4.0809984780
1.540000, 2.4341705185, 4.0831589900
1.545000, 2.4288133359, 4.0852949626
1.550000, 2.4234492804, 4.0874054705
1.555000, 2.4180784579, 4.0894895660
1.560000, 2.4127009765, 4.0915462786
1.565000, 2.4073169468, 4.0935746147
1.570000, 2.4019264819, 4.0955735572
1.575000, 2.3965296975, 4.0975420652
1.580000, 2.3911267120, 4.0994790736
1.585000, 2.3857176462, 4.1013834928
1.590000, 2.3803026237, 4.1032542081
1.595000, 2.3748817711, 4.1050900799
1.600000, 2.3694552176, 4.1068899429
